PTB;BAIRRO;Rota; lat ;long
187; AROEIRA II;https://www.google.pt/maps?q=-20.78758,-49.4417071;-20,78758;-49,4417071
188; AROEIRA II;https://www.google.pt/maps?q=-20.787434,-49.4405572;-20,787434;-49,4405572
189; SOLO SAGRADO II;https://www.google.pt/maps?q=-20.775182,-49.4215864;-20,775182;-49,4215864
190; ACÁCIAS;https://www.google.pt/maps?q=-20.767867,-49.3714923;-20,767867;-49,3714923
191; PARQUE DOS PASSAROS I;https://www.google.pt/maps?q=-20.874091,-49.4178979;-20,874091;-49,4178979
192; PARQUE DOS PASSAROS II;https://www.google.pt/maps?q=-20.870115,-49.4181835;-20,870115;-49,4181835
193; SAN FERNANDO VALLEY;https://www.google.pt/maps?q=-20.883098,-49.428142;-20,883098;-49,428142
194; AROEIRA I;https://www.google.pt/maps?q=-20.786242,-49.4350361;-20,786242;-49,4350361
195; MACHADO;https://www.google.pt/maps?q=-20.7655,-49.3544726;-20,7655;-49,3544726
196; BIANCO;https://www.google.pt/maps?q=-20.78639,-49.4250712;-20,78639;-49,4250712
197; HARMONIA;https://www.google.pt/maps?q=-20.853228,-49.408025;-20,853228;-49,408025
198; MARIA ZORITA;https://www.google.pt/maps?q=-20.782134,-49.4244498;-20,782134;-49,4244498
199; CAETANO;https://www.google.pt/maps?q=-20.754861,-49.387143;-20,754861;-49,387143
200; CAETANO;https://www.google.pt/maps?q=-20.757895,-49.3871533;-20,757895;-49,3871533
201; PALESTRA;https://www.google.pt/maps?q=-20.801421,-49.4325666;-20,801421;-49,4325666
202; PALESTRA;https://www.google.pt/maps?q=-20.802397,-49.4349876;-20,802397;-49,4349876
203; SÃO JUDAS TADEU;https://www.google.pt/maps?q=-20.814744,-49.3599972;-20,814744;-49,3599972
204; TARRAF II;https://www.google.pt/maps?q=-20.835243,-49.4172078;-20,835243;-49,4172078
205; SANTA FILOMENA;https://www.google.pt/maps?q=-20.785544,-49.3533235;-20,785544;-49,3533235
206; FIGUEIRA;https://www.google.pt/maps?q=-20.802163,-49.3470887;-20,802163;-49,3470887
207; FIGUEIRA;https://www.google.pt/maps?q=-20.804189,-49.3468593;-20,804189;-49,3468593
208; LAUREANO TEBAR II / INDIANAPOLIS;https://www.google.pt/maps?q=-20.830752,-49.3500594;-20,830752;-49,3500594
209; RESIDENCIAL GAIVOTA I;https://www.google.pt/maps?q=-20.800792,-49.3382556;-20,800792;-49,3382556
210; RESIDENCIAL GAIVOTA I;https://www.google.pt/maps?q=-20.801558,-49.3412167;-20,801558;-49,3412167
211; PARQUE DAS AMORAS;https://www.google.pt/maps?q=-20.8634,-49.3131116;-20,8634;-49,3131116
212; DAMHA V;https://www.google.pt/maps?q=-20.807175,-49.3323692;-20,807175;-49,3323692
